,ImageID,Synapse Counts,Normalized distance from pia (%),old_names,Animal,Sex,Genotype,Age
5,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,136.0,12.0,AB7917,AB7917,F,cko,42
6,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,91.0,14.0,AB7917,AB7917,F,cko,42
7,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,112.0,16.0,AB7917,AB7917,F,cko,42
8,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,119.0,18.0,AB7917,AB7917,F,cko,42
9,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,147.0,20.0,AB7917,AB7917,F,cko,42
10,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,142.0,22.0,AB7917,AB7917,F,cko,42
11,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,153.0,24.0,AB7917,AB7917,F,cko,42
12,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,196.0,26.0,AB7917,AB7917,F,cko,42
13,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,169.0,28.0,AB7917,AB7917,F,cko,42
14,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,206.0,30.0,AB7917,AB7917,F,cko,42
15,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,215.0,32.0,AB7917,AB7917,F,cko,42
16,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,213.0,34.0,AB7917,AB7917,F,cko,42
17,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,227.0,36.0,AB7917,AB7917,F,cko,42
18,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,222.0,38.0,AB7917,AB7917,F,cko,42
19,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,240.0,40.0,AB7917,AB7917,F,cko,42
20,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,238.0,42.0,AB7917,AB7917,F,cko,42
21,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,245.0,44.0,AB7917,AB7917,F,cko,42
22,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,257.0,46.0,AB7917,AB7917,F,cko,42
23,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,242.0,48.0,AB7917,AB7917,F,cko,42
24,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,194.0,50.0,AB7917,AB7917,F,cko,42
25,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,233.0,52.0,AB7917,AB7917,F,cko,42
26,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,208.0,54.0,AB7917,AB7917,F,cko,42
27,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,182.0,56.0,AB7917,AB7917,F,cko,42
28,AB7917_V1_section2_488-Cas9_594-PSD95_674-VGluT1_20240220_Merged-1.tif,236.0,58.0,AB7917,AB7917,F,cko,42
