Genotype,Animal,Normalized distance from pia (%),VGluT1 Counts
ctrl,AB7920,44.0,311.0
ctrl,AB7920,46.0,316.6666666666667
ctrl,AB7920,48.0,315.3333333333333
ctrl,AB7920,50.0,318.6666666666667
ctrl,AB7920,52.0,320.3333333333333
ctrl,AB7920,54.0,317.0
ctrl,AB7920,56.0,313.6666666666667
ctrl,AB7920,58.0,299.0
ctrl,AB7920,60.0,326.0
ctrl,AB7920,62.0,309.6666666666667
ctrl,AB7920,64.0,348.0
ctrl,AB7920,66.0,286.6666666666667
ctrl,AB7920,68.0,306.0
ctrl,AB7920,70.0,303.3333333333333
ctrl,AB7920,72.0,324.6666666666667
ctrl,AB7920,74.0,326.3333333333333
ctrl,AB7920,76.0,324.3333333333333
ctrl,AB7920,78.0,343.6666666666667
ctrl,AB7920,80.0,324.3333333333333
ctrl,AB7920,82.0,337.3333333333333
ctrl,AB7920,84.0,350.6666666666667
ctrl,AB7920,86.0,335.0
ctrl,AB7920,88.0,340.0
ctrl,AB7920,90.0,271.3333333333333
ctrl,AB7920,92.0,219.0
ctrl,AB7920,94.0,148.0
ctrl,AB7920,96.0,110.0
ctrl,AB7920,98.0,39.0
ctrl,AB7923,2.0,89.0
ctrl,AB7923,4.0,201.66666666666666
ctrl,AB7923,6.0,282.3333333333333
ctrl,AB7923,8.0,335.3333333333333
ctrl,AB7923,10.0,325.0
ctrl,AB7923,12.0,325.6666666666667
ctrl,AB7923,14.0,310.0
ctrl,AB7923,16.0,324.3333333333333
ctrl,AB7923,18.0,327.0
ctrl,AB7923,20.0,347.3333333333333
ctrl,AB7923,22.0,340.3333333333333
ctrl,AB7923,24.0,342.3333333333333
ctrl,AB7923,26.0,326.3333333333333
ctrl,AB7923,28.0,341.3333333333333
ctrl,AB7923,30.0,328.0
ctrl,AB7923,32.0,332.6666666666667
ctrl,AB7923,34.0,364.3333333333333
ctrl,AB7923,36.0,364.6666666666667
ctrl,AB7923,38.0,353.0
ctrl,AB7923,40.0,330.6666666666667
ctrl,AB7923,42.0,300.3333333333333
ctrl,AB7923,44.0,307.6666666666667
ctrl,AB7923,46.0,311.6666666666667
ctrl,AB7923,48.0,311.0
ctrl,AB7923,50.0,307.3333333333333
ctrl,AB7923,52.0,320.6666666666667
ctrl,AB7923,54.0,332.0
ctrl,AB7923,56.0,303.6666666666667
ctrl,AB7923,58.0,325.0
ctrl,AB7923,60.0,345.0
ctrl,AB7923,62.0,331.3333333333333
ctrl,AB7923,64.0,308.6666666666667
ctrl,AB7923,66.0,320.3333333333333
ctrl,AB7923,68.0,310.0
ctrl,AB7923,70.0,285.3333333333333
ctrl,AB7923,72.0,326.3333333333333
ctrl,AB7923,74.0,309.0
ctrl,AB7923,76.0,339.0
ctrl,AB7923,78.0,321.0
ctrl,AB7923,80.0,340.3333333333333
ctrl,AB7923,82.0,342.0
ctrl,AB7923,84.0,325.3333333333333
ctrl,AB7923,86.0,329.6666666666667
ctrl,AB7923,88.0,302.3333333333333
ctrl,AB7923,90.0,263.0
ctrl,AB7923,92.0,239.66666666666666
ctrl,AB7923,94.0,185.33333333333334
ctrl,AB7923,96.0,102.33333333333333
ctrl,AB7923,98.0,19.0
ctrl,AB7924,2.0,66.33333333333333
ctrl,AB7924,4.0,91.66666666666667
ctrl,AB7924,6.0,134.66666666666666
ctrl,AB7924,8.0,262.3333333333333
ctrl,AB7924,10.0,457.6666666666667
ctrl,AB7924,12.0,543.0
ctrl,AB7924,14.0,565.3333333333334
ctrl,AB7924,16.0,577.6666666666666
ctrl,AB7924,18.0,547.6666666666666
ctrl,AB7924,20.0,536.6666666666666
ctrl,AB7924,22.0,523.0
ctrl,AB7924,24.0,519.6666666666666
ctrl,AB7924,26.0,496.3333333333333
ctrl,AB7924,28.0,500.0
ctrl,AB7924,30.0,509.3333333333333
ctrl,AB7924,32.0,554.0
ctrl,AB7924,34.0,540.0
ctrl,AB7924,36.0,521.6666666666666
ctrl,AB7924,38.0,529.0
ctrl,AB7924,40.0,505.3333333333333
ctrl,AB7924,42.0,530.6666666666666
ctrl,AB7924,44.0,506.3333333333333
ctrl,AB7924,46.0,528.6666666666666
ctrl,AB7924,48.0,506.6666666666667
ctrl,AB7924,50.0,486.6666666666667
ctrl,AB7924,52.0,509.6666666666667
ctrl,AB7924,54.0,538.6666666666666
ctrl,AB7924,56.0,558.6666666666666
ctrl,AB7924,58.0,540.6666666666666
ctrl,AB7924,60.0,565.0
ctrl,AB7924,62.0,526.6666666666666
ctrl,AB7924,64.0,536.0
ctrl,AB7924,66.0,521.6666666666666
ctrl,AB7924,68.0,517.6666666666666
ctrl,AB7924,70.0,519.0
ctrl,AB7924,72.0,510.0
ctrl,AB7924,74.0,490.0
ctrl,AB7924,76.0,515.0
ctrl,AB7924,78.0,490.0
ctrl,AB7924,80.0,481.6666666666667
ctrl,AB7924,82.0,487.3333333333333
ctrl,AB7924,84.0,470.6666666666667
ctrl,AB7924,86.0,411.3333333333333
ctrl,AB7924,88.0,325.6666666666667
ctrl,AB7924,90.0,242.0
ctrl,AB7924,92.0,148.0
ctrl,AB7924,94.0,115.33333333333333
ctrl,AB7924,96.0,65.66666666666667
ctrl,AB7924,98.0,1.3333333333333333
ctrl,AB7927,2.0,231.66666666666666
ctrl,AB7927,4.0,358.3333333333333
ctrl,AB7927,6.0,479.0
ctrl,AB7927,8.0,527.3333333333334
ctrl,AB7927,10.0,514.3333333333334
ctrl,AB7927,12.0,493.0
ctrl,AB7927,14.0,524.0
ctrl,AB7927,16.0,548.3333333333334
ctrl,AB7927,18.0,616.3333333333334
ctrl,AB7927,20.0,601.0
ctrl,AB7927,22.0,605.6666666666666
ctrl,AB7927,24.0,603.3333333333334
ctrl,AB7927,26.0,568.0
ctrl,AB7927,28.0,621.0
ctrl,AB7927,30.0,598.6666666666666
ctrl,AB7927,32.0,579.6666666666666
ctrl,AB7927,34.0,599.0
ctrl,AB7927,36.0,632.6666666666666
ctrl,AB7927,38.0,552.0
ctrl,AB7927,40.0,593.3333333333334
ctrl,AB7927,42.0,590.0
ctrl,AB7927,44.0,595.3333333333334
ctrl,AB7927,46.0,568.6666666666666
ctrl,AB7927,48.0,579.0
ctrl,AB7927,50.0,598.3333333333334
ctrl,AB7927,52.0,595.0
ctrl,AB7927,54.0,602.3333333333334
ctrl,AB7927,56.0,613.3333333333334
ctrl,AB7927,58.0,613.3333333333334
ctrl,AB7927,60.0,574.3333333333334
ctrl,AB7927,62.0,595.3333333333334
ctrl,AB7927,64.0,604.0
ctrl,AB7927,66.0,554.3333333333334
ctrl,AB7927,68.0,590.3333333333334
ctrl,AB7927,70.0,591.0
ctrl,AB7927,72.0,602.3333333333334
ctrl,AB7927,74.0,609.6666666666666
ctrl,AB7927,76.0,598.0
ctrl,AB7927,78.0,607.0
ctrl,AB7927,80.0,629.3333333333334
ctrl,AB7927,82.0,668.0
ctrl,AB7927,84.0,507.0
ctrl,AB7927,86.0,478.6666666666667
ctrl,AB7927,88.0,472.6666666666667
ctrl,AB7927,90.0,450.0
ctrl,AB7927,92.0,423.6666666666667
ctrl,AB7927,94.0,368.3333333333333
ctrl,AB7927,96.0,258.6666666666667
ctrl,AB7927,98.0,50.333333333333336
ctrl,AB7928,2.0,81.33333333333333
ctrl,AB7928,4.0,138.33333333333334
ctrl,AB7928,6.0,219.33333333333334
ctrl,AB7928,8.0,303.0
ctrl,AB7928,10.0,332.0
ctrl,AB7928,12.0,317.6666666666667
ctrl,AB7928,14.0,344.3333333333333
ctrl,AB7928,16.0,375.3333333333333
ctrl,AB7928,18.0,375.3333333333333
ctrl,AB7928,20.0,407.6666666666667
ctrl,AB7928,22.0,412.6666666666667
ctrl,AB7928,24.0,414.0
ctrl,AB7928,26.0,431.0
ctrl,AB7928,28.0,431.0
ctrl,AB7928,30.0,448.3333333333333
ctrl,AB7928,32.0,456.6666666666667
ctrl,AB7928,34.0,486.6666666666667
ctrl,AB7928,36.0,463.0
ctrl,AB7928,38.0,471.6666666666667
ctrl,AB7928,40.0,481.0
ctrl,AB7928,42.0,412.3333333333333
ctrl,AB7928,44.0,440.0
ctrl,AB7928,46.0,438.6666666666667
ctrl,AB7928,48.0,496.0
ctrl,AB7928,50.0,554.3333333333334
ctrl,AB7928,52.0,533.3333333333334
ctrl,AB7928,54.0,531.6666666666666
ctrl,AB7928,56.0,503.3333333333333
ctrl,AB7928,58.0,549.6666666666666
ctrl,AB7928,60.0,545.0
ctrl,AB7928,62.0,550.3333333333334
ctrl,AB7928,64.0,565.0
ctrl,AB7928,66.0,559.6666666666666
ctrl,AB7928,68.0,546.6666666666666
ctrl,AB7928,70.0,525.0
ctrl,AB7928,72.0,512.0
ctrl,AB7928,74.0,540.0
ctrl,AB7928,76.0,511.6666666666667
ctrl,AB7928,78.0,502.0
ctrl,AB7928,80.0,524.0
ctrl,AB7928,82.0,522.0
ctrl,AB7928,84.0,515.0
ctrl,AB7928,86.0,509.6666666666667
ctrl,AB7928,88.0,470.6666666666667
ctrl,AB7928,90.0,451.6666666666667
ctrl,AB7928,92.0,378.3333333333333
ctrl,AB7928,94.0,302.3333333333333
ctrl,AB7928,96.0,231.33333333333334
ctrl,AB7928,98.0,19.666666666666668
