Genotype,Animal,Normalized distance from pia (%),Synapse Counts
cko,AB7932,72.0,83.33333333333333
cko,AB7932,74.0,82.66666666666667
cko,AB7932,76.0,79.0
cko,AB7932,78.0,72.0
cko,AB7932,80.0,69.66666666666667
cko,AB7932,82.0,57.333333333333336
cko,AB7932,84.0,61.0
cko,AB7932,86.0,55.666666666666664
cko,AB7932,88.0,56.333333333333336
cko,AB7932,90.0,57.333333333333336
cko,AB7932,92.0,59.0
cko,AB7932,94.0,33.333333333333336
cko,AB7932,96.0,18.333333333333332
cko,AB7932,98.0,3.6666666666666665
ctrl,AB7920,2.0,2.3333333333333335
ctrl,AB7920,4.0,9.0
ctrl,AB7920,6.0,22.666666666666668
ctrl,AB7920,8.0,38.666666666666664
ctrl,AB7920,10.0,49.333333333333336
ctrl,AB7920,12.0,65.66666666666667
ctrl,AB7920,14.0,69.0
ctrl,AB7920,16.0,62.0
ctrl,AB7920,18.0,56.666666666666664
ctrl,AB7920,20.0,47.333333333333336
ctrl,AB7920,22.0,51.666666666666664
ctrl,AB7920,24.0,50.666666666666664
ctrl,AB7920,26.0,46.333333333333336
ctrl,AB7920,28.0,54.0
ctrl,AB7920,30.0,59.0
ctrl,AB7920,32.0,60.666666666666664
ctrl,AB7920,34.0,55.666666666666664
ctrl,AB7920,36.0,55.0
ctrl,AB7920,38.0,45.666666666666664
ctrl,AB7920,40.0,49.333333333333336
ctrl,AB7920,42.0,54.666666666666664
ctrl,AB7920,44.0,52.666666666666664
ctrl,AB7920,46.0,41.666666666666664
ctrl,AB7920,48.0,58.0
ctrl,AB7920,50.0,55.333333333333336
ctrl,AB7920,52.0,63.666666666666664
ctrl,AB7920,54.0,55.666666666666664
ctrl,AB7920,56.0,59.666666666666664
ctrl,AB7920,58.0,53.666666666666664
ctrl,AB7920,60.0,63.333333333333336
ctrl,AB7920,62.0,63.0
ctrl,AB7920,64.0,61.333333333333336
ctrl,AB7920,66.0,54.333333333333336
ctrl,AB7920,68.0,51.0
ctrl,AB7920,70.0,48.666666666666664
ctrl,AB7920,72.0,42.0
ctrl,AB7920,74.0,35.333333333333336
ctrl,AB7920,76.0,41.333333333333336
ctrl,AB7920,78.0,42.0
ctrl,AB7920,80.0,38.666666666666664
ctrl,AB7920,82.0,36.333333333333336
ctrl,AB7920,84.0,47.0
ctrl,AB7920,86.0,50.666666666666664
ctrl,AB7920,88.0,47.0
ctrl,AB7920,90.0,34.666666666666664
ctrl,AB7920,92.0,28.0
ctrl,AB7920,94.0,15.333333333333334
ctrl,AB7920,96.0,10.333333333333334
ctrl,AB7920,98.0,2.3333333333333335
ctrl,AB7923,2.0,15.333333333333334
ctrl,AB7923,4.0,38.333333333333336
ctrl,AB7923,6.0,58.0
ctrl,AB7923,8.0,67.33333333333333
ctrl,AB7923,10.0,65.66666666666667
ctrl,AB7923,12.0,66.66666666666667
ctrl,AB7923,14.0,64.66666666666667
ctrl,AB7923,16.0,59.333333333333336
ctrl,AB7923,18.0,59.0
ctrl,AB7923,20.0,54.333333333333336
ctrl,AB7923,22.0,55.666666666666664
ctrl,AB7923,24.0,49.333333333333336
ctrl,AB7923,26.0,52.666666666666664
ctrl,AB7923,28.0,57.0
ctrl,AB7923,30.0,60.333333333333336
ctrl,AB7923,32.0,61.333333333333336
ctrl,AB7923,34.0,64.33333333333333
ctrl,AB7923,36.0,62.0
ctrl,AB7923,38.0,63.0
ctrl,AB7923,40.0,63.0
ctrl,AB7923,42.0,48.333333333333336
ctrl,AB7923,44.0,61.333333333333336
ctrl,AB7923,46.0,58.666666666666664
ctrl,AB7923,48.0,61.0
ctrl,AB7923,50.0,71.66666666666667
ctrl,AB7923,52.0,76.33333333333333
ctrl,AB7923,54.0,75.33333333333333
ctrl,AB7923,56.0,69.0
ctrl,AB7923,58.0,76.66666666666667
ctrl,AB7923,60.0,77.0
ctrl,AB7923,62.0,79.0
ctrl,AB7923,64.0,70.0
ctrl,AB7923,66.0,76.0
ctrl,AB7923,68.0,78.66666666666667
ctrl,AB7923,70.0,55.0
ctrl,AB7923,72.0,60.666666666666664
ctrl,AB7923,74.0,60.333333333333336
ctrl,AB7923,76.0,59.0
ctrl,AB7923,78.0,51.0
ctrl,AB7923,80.0,54.0
ctrl,AB7923,82.0,55.0
ctrl,AB7923,84.0,48.666666666666664
ctrl,AB7923,86.0,46.0
ctrl,AB7923,88.0,38.666666666666664
ctrl,AB7923,90.0,31.0
ctrl,AB7923,92.0,25.0
ctrl,AB7923,94.0,18.666666666666668
ctrl,AB7923,96.0,14.0
ctrl,AB7923,98.0,2.6666666666666665
ctrl,AB7924,2.0,14.0
ctrl,AB7924,4.0,20.333333333333332
ctrl,AB7924,6.0,30.0
ctrl,AB7924,8.0,56.0
ctrl,AB7924,10.0,101.0
ctrl,AB7924,12.0,146.33333333333334
ctrl,AB7924,14.0,159.0
ctrl,AB7924,16.0,174.0
ctrl,AB7924,18.0,158.33333333333334
ctrl,AB7924,20.0,144.66666666666666
ctrl,AB7924,22.0,142.33333333333334
ctrl,AB7924,24.0,135.33333333333334
ctrl,AB7924,26.0,119.33333333333333
ctrl,AB7924,28.0,113.33333333333333
ctrl,AB7924,30.0,124.66666666666667
ctrl,AB7924,32.0,140.66666666666666
ctrl,AB7924,34.0,150.33333333333334
ctrl,AB7924,36.0,132.66666666666666
ctrl,AB7924,38.0,131.66666666666666
ctrl,AB7924,40.0,122.0
ctrl,AB7924,42.0,141.0
ctrl,AB7924,44.0,142.33333333333334
ctrl,AB7924,46.0,149.33333333333334
ctrl,AB7924,48.0,137.66666666666666
ctrl,AB7924,50.0,132.0
ctrl,AB7924,52.0,136.66666666666666
ctrl,AB7924,54.0,143.0
ctrl,AB7924,56.0,156.0
ctrl,AB7924,58.0,171.33333333333334
ctrl,AB7924,60.0,159.33333333333334
ctrl,AB7924,62.0,157.0
ctrl,AB7924,64.0,155.0
